agency,measure,amount,share_of_appropriated,label_text,note
ICE,Annual Appropriations,10647190528.35,0.1422,$10.6B FY25 Annual Appropriations,Notes: Amounts are rounded to nearest $100 million. OBBA appropriations reflect statutory amounts in P.L. 119-21; FY25 annual appropriations reflect USAspending.gov File A total budgetary resources as of September 2025; obligations reflect USAspending.gov File B
ICE,Appropriated,74850000000.00,1.0000,OBBA Appropriation $74.9 billion,Notes: Amounts are rounded to nearest $100 million. OBBA appropriations reflect statutory amounts in P.L. 119-21; FY25 annual appropriations reflect USAspending.gov File A total budgetary resources as of September 2025; obligations reflect USAspending.gov File B
ICE,Obligated,3800000000.00,0.0508,$3.8B obligated (5%),Notes: Amounts are rounded to nearest $100 million. OBBA appropriations reflect statutory amounts in P.L. 119-21; FY25 annual appropriations reflect USAspending.gov File A total budgetary resources as of September 2025; obligations reflect USAspending.gov File B
CBP,Annual Appropriations,21020920849.59,0.3249,$21.0B FY25 Annual Appropriations,Notes: Amounts are rounded to nearest $100 million. OBBA appropriations reflect statutory amounts in P.L. 119-21; FY25 annual appropriations reflect USAspending.gov File A total budgetary resources as of September 2025; obligations reflect USAspending.gov File B
CBP,Appropriated,64700000000.00,1.0000,$64.7B OBBA Appropriation,Notes: Amounts are rounded to nearest $100 million. OBBA appropriations reflect statutory amounts in P.L. 119-21; FY25 annual appropriations reflect USAspending.gov File A total budgetary resources as of September 2025; obligations reflect USAspending.gov File B
CBP,Obligated,11300000000.00,0.1700,$11.3B obligated (17%),Notes: Amounts are rounded to nearest $100 million. OBBA appropriations reflect statutory amounts in P.L. 119-21; FY25 annual appropriations reflect USAspending.gov File A total budgetary resources as of September 2025; obligations reflect USAspending.gov File B
