object_class_name,agency,amount,snapshot_month,note
Land and structures,CBP,9307855480.55,2025,"Calendar-year 2025 OBBA obligations derived from cumulative quarter-end File B snapshots: Mar. 31, 2025 minus Dec. 31, 2024; Jun. 30 minus Mar. 31; Sep. 30 minus Jun. 30; plus Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
Equipment,CBP,775291335.78,2025,"Calendar-year 2025 OBBA obligations derived from cumulative quarter-end File B snapshots: Mar. 31, 2025 minus Dec. 31, 2024; Jun. 30 minus Mar. 31; Sep. 30 minus Jun. 30; plus Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
Other goods and services from Federal sources,CBP,576301751.93,2025,"Calendar-year 2025 OBBA obligations derived from cumulative quarter-end File B snapshots: Mar. 31, 2025 minus Dec. 31, 2024; Jun. 30 minus Mar. 31; Sep. 30 minus Jun. 30; plus Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
Personnel expenses,CBP,373479958.25,2025,"Calendar-year 2025 OBBA obligations derived from cumulative quarter-end File B snapshots: Mar. 31, 2025 minus Dec. 31, 2024; Jun. 30 minus Mar. 31; Sep. 30 minus Jun. 30; plus Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
Other services from non-Federal sources,CBP,219502244.18,2025,"Calendar-year 2025 OBBA obligations derived from cumulative quarter-end File B snapshots: Mar. 31, 2025 minus Dec. 31, 2024; Jun. 30 minus Mar. 31; Sep. 30 minus Jun. 30; plus Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
Equipment,ICE,1282754788.09,2025,"Calendar-year 2025 OBBA obligations derived from cumulative quarter-end File B snapshots: Mar. 31, 2025 minus Dec. 31, 2024; Jun. 30 minus Mar. 31; Sep. 30 minus Jun. 30; plus Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
Operation and maintenance of facilities,ICE,1078122845.24,2025,"Calendar-year 2025 OBBA obligations derived from cumulative quarter-end File B snapshots: Mar. 31, 2025 minus Dec. 31, 2024; Jun. 30 minus Mar. 31; Sep. 30 minus Jun. 30; plus Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
Travel and transportation of persons,ICE,921690732.57,2025,"Calendar-year 2025 OBBA obligations derived from cumulative quarter-end File B snapshots: Mar. 31, 2025 minus Dec. 31, 2024; Jun. 30 minus Mar. 31; Sep. 30 minus Jun. 30; plus Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
Personnel expenses,ICE,329429040.63,2025,"Calendar-year 2025 OBBA obligations derived from cumulative quarter-end File B snapshots: Mar. 31, 2025 minus Dec. 31, 2024; Jun. 30 minus Mar. 31; Sep. 30 minus Jun. 30; plus Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
